system,model,n,clean_accuracy,adversarial_accuracy,aer,pafr,safe_reject_rate,clean_htr,adv_htr,overall_htr,median_clean_latency_ms,median_adv_latency_ms,median_latency_ms
abci,meta-llama/Llama-3.2-1B-Instruct,100,0.79,0.76,0.24,0.19,0.055,0.0,0.01,0.005,7238.374050008133,10560.975850035902,9672.95304997242
abci,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,100,0.8,0.76,0.24,0.16,0.0,0.0,0.0,0.0,14003.407099982724,14359.609950013692,14164.217200013809
abci,google/gemma-3-1b-it,100,0.8,0.76,0.24,0.16,0.0,0.0,0.0,0.0,9353.672549972543,9368.493200017838,9368.493200017838
abci,Qwen/Qwen3-1.7B,100,0.73,0.61,0.39,0.23,0.1,0.1,0.13,0.115,10010.621749970596,12942.989550036145,10639.115700003458
deterministic_grammar_policy,deterministic,100,0.8,0.76,0.24,0.16,0.0,0.0,0.0,0.0,0.02340000355616212,0.019350001821294427,0.020450010197237134
llm_assist_rule_approval,meta-llama/Llama-3.2-1B-Instruct,100,0.8,0.48,0.52,0.37,0.025,0.0,0.03,0.015,2847.326850023819,2957.221649994608,2870.4161499917973
llm_assist_rule_approval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,100,0.7,0.66,0.34,0.16,0.1,0.0,0.0,0.0,8678.676700015785,9003.230100031942,8829.847600020003
llm_assist_rule_approval,google/gemma-3-1b-it,100,0.6,0.32,0.68,0.34,0.2,0.0,0.16,0.08,4666.820199985523,4588.1742000055965,4615.036450006301
llm_assist_rule_approval,Qwen/Qwen3-1.7B,100,0.43,0.28,0.72,0.17,0.2,0.2,0.2,0.2,5054.171299998416,6114.472550019855,5363.577399984933
direct_decision,meta-llama/Llama-3.2-1B-Instruct,100,0.67,0.46,0.54,0.31,0.0,0.0,0.0,0.0,1875.2875500067603,2127.9353000281844,2051.382450008532
direct_decision,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,100,0.7,0.66,0.34,0.16,0.0,0.1,0.1,0.1,3693.654799979413,3958.0346499860752,3790.085199987516
direct_decision,google/gemma-3-1b-it,100,0.53,0.23,0.77,0.38,0.0,0.19,0.36,0.275,2041.6441500128713,2150.9641999728046,2132.2134000074584
direct_decision,Qwen/Qwen3-1.7B,100,0.3,0.18,0.82,0.12,0.0,0.4,0.4,0.4,2537.715950020356,2748.383999976795,2588.950200006366
role_separated,meta-llama/Llama-3.2-1B-Instruct,100,0.65,0.42,0.58,0.54,0.0,0.16,0.18,0.17,1805.1927000051364,1985.8971999783535,1953.1116999860387
role_separated,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,100,0.7,0.66,0.34,0.16,0.0,0.1,0.1,0.1,3652.145650034072,3993.6459999589715,3743.4760500036646
role_separated,google/gemma-3-1b-it,100,0.56,0.28,0.72,0.34,0.0,0.14,0.34,0.24,2153.2850500079803,2323.0758500285447,2221.631399967009
role_separated,Qwen/Qwen3-1.7B,100,0.5,0.23,0.77,0.27,0.0,0.3,0.4,0.35,2571.9879499811213,2924.6171999839135,2791.8734500126448
schema_constrained,meta-llama/Llama-3.2-1B-Instruct,100,0.65,0.5,0.5,0.34,0.0,0.22,0.23,0.225,6733.744399971329,8730.50565001904,7469.358400034253
schema_constrained,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,100,0.7,0.66,0.34,0.16,0.0,0.1,0.1,0.1,13886.595999996644,14189.958049973939,14103.332800004864
schema_constrained,google/gemma-3-1b-it,100,0.72,0.66,0.34,0.17,0.0,0.1,0.1,0.1,6787.735499965493,6614.942099986365,6654.547400015872
schema_constrained,Qwen/Qwen3-1.7B,100,0.66,0.38,0.62,0.35,0.0,0.2,0.33,0.265,9451.740100019379,12279.565400007414,9891.603850002866
